Typhoon,UTOR,3,13:40,6-Jul-01,11:20,7-Jul-01,21 40
Typhoon,YUTU,1,21:50,23-Jul-01,15:50,24-Jul-01,18 00
Typhoon,YUTU,3,15:50,24-Jul-01,0:30,25-Jul-01,08 40
Typhoon,YUTU,8 NE,0:30,25-Jul-01,10:40,25-Jul-01,10 10
Typhoon,YUTU,8 SE,10:40,25-Jul-01,19:40,25-Jul-01,09 00
Typhoon,YUTU,3,19:40,25-Jul-01,6:15,26-Jul-01,10 35
Tropical Storm,FITOW,1,22:15,28-Aug-01,4:45,30-Aug-01,30 30
Typhoon,NARI,1,16:15,19-Sep-01,14:45,20-Sep-01,22 30
Typhoon,NARI,3,14:45,20-Sep-01,22:40,20-Sep-01,07 55
Severe Tropical Storm,KAMMURI,1,9:50,3-Aug-02,11:30,5-Aug-02,49 40
Severe Tropical Storm,VONGFONG,1,22:45,17-Aug-02,6:30,20-Aug-02,55 45
Severe Tropical Storm,HAGUPIT,1,14:40,10-Sep-02,5:40,11-Sep-02,15 00
Severe Tropical Storm,HAGUPIT,3,5:40,11-Sep-02,13:40,11-Sep-02,08 00
Severe Tropical Storm,HAGUPIT,8 SE,13:40,11-Sep-02,1:40,12-Sep-02,12 00
Severe Tropical Storm,HAGUPIT,3,1:40,12-Sep-02,5:40,12-Sep-02,04 00
Severe Tropical Storm,KONI,1,5:40,20-Jul-03,20:15,21-Jul-03,38 35
Typhoon (Super Typhoon),IMBUDO,1,20:20,22-Jul-03,13:40,23-Jul-03,17 20
Typhoon (Super Typhoon),IMBUDO,3,13:40,23-Jul-03,22:40,23-Jul-03,09 00
Typhoon (Super Typhoon),IMBUDO,8 NE,22:40,23-Jul-03,5:15,24-Jul-03,06 35
Typhoon (Super Typhoon),IMBUDO,8 SE,5:15,24-Jul-03,8:15,24-Jul-03,03 00
Typhoon (Super Typhoon),IMBUDO,3,8:15,24-Jul-03,12:40,24-Jul-03,04 25
Typhoon,KROVANH,1,9:30,23-Aug-03,11:30,24-Aug-03,26 00
Typhoon,KROVANH,3,11:30,24-Aug-03,11:30,25-Aug-03,24 00
Typhoon (Severe Typhoon),DUJUAN,1,22:15,1-Sep-03,10:40,2-Sep-03,12 25
Typhoon (Severe Typhoon),DUJUAN,3,10:40,2-Sep-03,14:20,2-Sep-03,03 40
Typhoon (Severe Typhoon),DUJUAN,8 NW,14:20,2-Sep-03,20:10,2-Sep-03,05 50
Typhoon (Severe Typhoon),DUJUAN,9,20:10,2-Sep-03,22:10,2-Sep-03,02 00
Typhoon (Severe Typhoon),DUJUAN,8 SW,22:10,2-Sep-03,1:30,3-Sep-03,03 20
Typhoon (Severe Typhoon),DUJUAN,3,1:30,3-Sep-03,3:20,3-Sep-03,01 50
Typhoon,CONSON,1,14:15,8-Jun-04,4:30,9-Jun-04,14 15
Tropical Storm,KOMPASU,1,22:55,14-Jul-04,5:15,16-Jul-04,30 20
Tropical Storm,KOMPASU,3,5:15,16-Jul-04,11:45,16-Jul-04,06 30
Tropical Storm,KOMPASU,8 NE,11:45,16-Jul-04,14:45,16-Jul-04,03 00
Tropical Storm,KOMPASU,8 NW,14:45,16-Jul-04,16:45,16-Jul-04,02 00
Tropical Storm,KOMPASU,8 SW,16:45,16-Jul-04,19:20,16-Jul-04,02 35
Tropical Storm,KOMPASU,3,19:20,16-Jul-04,20:20,16-Jul-04,01 00
Typhoon,AERE,1,10:15,26-Aug-04,4:10,27-Aug-04,17 55
Severe Tropical Storm,SANVU,1,10:40,12-Aug-05,18:45,13-Aug-05,32 05
Tropical Storm,VICENTE,1,14:40,17-Sep-05,7:40,18-Sep-05,17 00
Typhoon (Severe Typhoon),DAMREY,1,10:40,22-Sep-05,8:40,24-Sep-05,46 00
Typhoon (Severe Typhoon),DAMREY,3,8:40,24-Sep-05,8:20,26-Sep-05,47 40
